team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Home,CHALLENGE,GROUND-WON,1,3825,382.5,3825,382.5,A06,,0.49,0.38,,,1
Away,CHALLENGE,GROUND-LOST,1,3826,382.6,3826,382.6,B20,,0.48,0.37,,,1
Home,PASS,PASS,1,3832,383.2,3845,384.5,A06,A02,0.49,0.39,0.65,0.4,1
Home,PASS,PASS,1,3845,384.5,3860,386.0,A02,A04,0.65,0.4,0.58,0.62,1
Home,PASS,PASS,1,3876,387.6,3886,388.6,A04,A10,0.55,0.67,0.31,0.53,1
Home,PASS,PASS,1,3904,390.4,3924,392.4,A10,A08,0.28,0.64,0.19,0.95,1
Home,BALL LOST,INTERCEPTION,1,3962,396.2,3968,396.8,A08,,0.08,0.79,0.06,0.56,1
Away,CHALLENGE,GROUND-WON,1,3968,396.8,3968,396.8,B17,,0.06,0.55,,,1
Away,RECOVERY,INTERCEPTION,1,3968,396.8,3968,396.8,B17,,0.06,0.55,,,1
Away,BALL OUT,BALL OUT,1,3968,396.8,3980,398.0,B17,,0.06,0.55,-0.01,0.65,1
Home,CHALLENGE,GROUND-LOST,1,3968,396.8,3968,396.8,A09,,0.07,0.57,,,1
Home,SET PIECE,CORNER KICK,1,4186,418.6,4186,418.6,A05,,,,,,1
Home,BALL LOST,INTERCEPTION,1,4186,418.6,4204,420.4,A05,,0.08,1.0,0.04,0.58,1
Away,RECOVERY,INTERCEPTION,1,4203,420.3,4203,420.3,B23,,0.03,0.57,,,1
Away,BALL OUT,HEAD,1,4203,420.3,4245,424.5,B23,,0.03,0.57,0.27,1.01,1
Home,SET PIECE,THROW IN,1,4286,428.6,4286,428.6,A04,,,,,,1
Home,PASS,PASS,1,4286,428.6,4306,430.6,A04,A02,0.36,1.0,0.52,0.83,1
Home,PASS,PASS,1,4355,435.5,4369,436.9,A02,A06,0.52,0.69,0.54,0.39,1
Home,PASS,PASS,1,4404,440.4,4412,441.2,A06,A05,0.42,0.24,0.29,0.19,1
Home,BALL LOST,INTERCEPTION,1,4426,442.6,4441,444.1,A05,,0.26,0.15,0.14,0.45,1
Away,RECOVERY,INTERCEPTION,1,4441,444.1,4441,444.1,B16,,0.15,0.48,,,1
Away,BALL LOST,HEAD-INTERCEPTION,1,4464,446.4,4464,446.4,B16,,0.17,0.5,0.36,0.31,1
Home,RECOVERY,INTERCEPTION,1,4464,446.4,4464,446.4,A06,,0.35,0.34,,,1
Home,PASS,PASS,1,4464,446.4,4480,448.0,A06,A04,0.35,0.34,0.44,0.56,1
Home,PASS,PASS,1,4510,451.0,4528,452.8,A04,A08,0.39,0.62,0.29,0.97,1
Home,PASS,PASS,1,4555,455.5,4567,456.7,A08,A04,0.25,0.94,0.32,0.84,1
Home,BALL LOST,INTERCEPTION,1,4577,457.7,4591,459.1,A04,,0.32,0.83,0.23,0.29,1
Away,RECOVERY,INTERCEPTION,1,4592,459.2,4592,459.2,B22,,0.24,0.34,,,1
Home,CHALLENGE,GROUND-LOST,1,4607,460.7,4607,460.7,A05,,0.25,0.4,,,1
Away,CHALLENGE,GROUND-WON,1,4608,460.8,4608,460.8,B22,,0.24,0.39,,,1
Away,CHALLENGE,TACKLE-LOST,1,4614,461.4,4614,461.4,B22,,0.25,0.41,,,1
Away,BALL LOST,THEFT,1,4614,461.4,4614,461.4,B22,,0.25,0.41,,,1
Home,CHALLENGE,TACKLE-WON,1,4657,465.7,4657,465.7,A07,,0.37,0.51,,,1
Home,RECOVERY,THEFT,1,4657,465.7,4657,465.7,A07,,0.37,0.51,,,1
Home,PASS,PASS,1,4659,465.9,4674,467.4,A07,A10,0.37,0.51,0.3,0.5,1
